Place,Direction,Dist_500M,Dist_1KM,Dist_5KM,Dist_>5KM,LATITUDE ,LONGITUDE
A,N,12,34,56,89,21.193848,81.350945
A,S,8,21,34,56,21.193848,81.350945
A,E,15,20,23,86,21.193848,81.350945
A,W,18,21,56,97,21.193848,81.350945
A,NE,5,8,14,20,21.193848,81.350945
A,NW,23,25,45,53,21.193848,81.350945
A,SE,14,25,36,47,21.193848,81.350945
A,SW,41,54,65,68,21.193848,81.350945
B,N,12,34,45,76,41.299496,69.240074
B,S,41,51,65,87,41.299496,69.240074
B,E,23,36,47,59,41.299496,69.240074
B,W,23,38,45,54,41.299496,69.240074
B,NE,21,23,39,49,41.299496,69.240074
B,NW,35,45,54,59,41.299496,69.240074
B,SE,21,28,39,57,41.299496,69.240074
B,SW,41,57,69,89,41.299496,69.240074
